TRADEDATE,BOARDID,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
2014-09-15,TQTF,FXRU ETF,FXRU,2,854400.0,3560.0,3560.0,3560.0,3560.0,3560.0,3560.0,240,3514.8,3514.8,3514.8,4393489.0,4393489.0,4393489.0,809385.9
2014-09-16,TQTF,FXRU ETF,FXRU,0,0.0,,,,3560.0,,,0,3491.9,3514.8,3491.9,6973334.6,4393489.0,6973334.6,809385.9
2014-09-17,TQTF,FXRU ETF,FXRU,2,866360.0,3580.0,3580.0,3580.0,3580.0,3580.0,3580.0,242,3536.0,3536.0,3536.0,4427049.0,4427049.0,4427049.0,809385.9
2014-09-18,TQTF,FXRU ETF,FXRU,3,897628.0,3602.8,3590.0,3602.8,3590.0,3590.5,3590.0,250,3560.5,3560.5,3560.5,3816808.0,3816808.0,3816808.0,809385.9
2014-09-19,TQTF,FXRU ETF,FXRU,3,115323.2,3576.2,3576.2,3606.0,3606.0,3603.9,3606.0,32,3578.2,3578.2,3578.2,2733711.2,2733711.2,2733711.2,809385.9
2014-09-22,TQTF,FXRU ETF,FXRU,2,1812620.1,3620.1,3618.0,3620.1,3618.0,3618.0,3618.0,501,3601.9,3601.9,3601.9,3691931.3,3691931.3,3691931.3,809385.9
2014-09-23,TQTF,FXRU ETF,FXRU,2,867600.0,3615.0,3615.0,3615.0,3615.0,3615.0,3615.0,240,3604.4,3610.1,3604.4,4559531.3,3693171.3,4559531.3,809385.9
2014-09-24,TQTF,FXRU ETF,FXRU,3,871220.0,3615.0,3615.0,3620.0,3620.0,3615.0,3620.0,241,3611.1,3616.1,3611.1,4564391.3,3666763.3,4564391.3,809385.9
2014-09-25,TQTF,FXRU ETF,FXRU,2,878460.0,3630.0,3630.0,3630.0,3630.0,3630.0,3630.0,242,3618.8,3619.2,3618.8,4545223.3,4433506.1,4545223.3,809385.9
2014-09-26,TQTF,FXRU ETF,FXRU,4,896668.7,3661.2,3661.2,3685.1,3675.0,3674.9,3675.0,244,3628.5,3636.5,3628.5,5326568.8,3080148.7,5326568.8,809385.9
2014-09-29,TQTF,FXRU ETF,FXRU,1,295168.0,3689.6,3689.6,3689.6,3689.6,3689.6,3689.6,80,3638.1,3645.0,3638.1,3809116.7,2941516.7,3809116.7,809385.9
2014-09-30,TQTF,FXRU ETF,FXRU,2,1226180.4,3574.4,3574.4,3595.9,3595.8,3595.8,3595.9,341,3630.4,3634.5,3630.4,4167697.1,3300097.1,4167697.1,809385.9
2014-10-01,TQTF,FXRU ETF,FXRU,1,108000.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,30,3633.4,3633.4,3633.4,3404477.1,3404477.1,3404477.1,805044.25
2014-10-02,TQTF,FXRU ETF,FXRU,0,0.0,,,,3600.0,,,0,3624.4,3633.4,3624.4,7071240.4,3404477.1,7071240.4,805044.25
2014-10-03,TQTF,FXRU ETF,FXRU,0,0.0,,,,3600.0,,,0,3624.8,3633.4,3624.8,6955917.2,3404477.1,6955917.2,805044.25
2014-10-06,TQTF,FXRU ETF,FXRU,0,0.0,,,,3600.0,,,0,3627.1,3633.4,3627.1,5143297.1,3404477.1,5143297.1,805044.25
2014-10-07,TQTF,FXRU ETF,FXRU,0,0.0,,,,3600.0,,,0,3629.6,3633.4,3629.6,4275697.1,3404477.1,4275697.1,805044.25
2014-10-08,TQTF,FXRU ETF,FXRU,0,0.0,,,,3600.0,,,0,3633.4,3633.4,3633.4,3404477.1,3404477.1,3404477.1,805044.25
2014-10-09,TQTF,FXRU ETF,FXRU,0,0.0,,,,3600.0,,,0,,3633.4,,0.0,3404477.1,0.0,805044.25
2014-10-10,TQTF,FXRU ETF,FXRU,2,40516.7,3680.7,3680.7,3683.6,3683.6,3683.3,3683.6,11,,3635.3,,0.0,2566533.8,0.0,805044.25
2014-10-13,TQTF,FXRU ETF,FXRU,1,29369.6,3671.2,3671.2,3671.2,3683.6,3671.2,3671.2,8,,3635.6,,0.0,2584919.8,0.0,805044.25
2014-10-14,TQTF,FXRU ETF,FXRU,2,888000.0,3700.0,3700.0,3700.0,3700.0,3700.0,3700.0,240,,3648.5,,0.0,3028234.7,0.0,805044.25
