TRADEDATE,BOARDID,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,CLOSE,WAPRICE
2016-02-29,RPMO,ОФЗ 26214,SU26214RMFS5,1,141017040.0,82.9512,82.9512,82.9512,82.9512,
2016-03-01,RPMO,ОФЗ 26214,SU26214RMFS5,1,141007010.0,82.9453,82.9453,82.9453,82.9453,
2016-03-02,RPMO,ОФЗ 26214,SU26214RMFS5,1,141293800.0,83.11399999999999,83.11399999999999,83.11399999999999,83.11399999999999,
2016-03-03,RPMO,ОФЗ 26214,SU26214RMFS5,1,142570160.0,83.8648,83.8648,83.8648,83.8648,
2016-03-04,RPMO,ОФЗ 26214,SU26214RMFS5,1,142452180.0,83.7954,83.7954,83.7954,83.7954,
2016-03-09,RPMO,ОФЗ 26214,SU26214RMFS5,1,143057550.0,84.1515,84.1515,84.1515,84.1515,
2016-03-10,RPMO,ОФЗ 26214,SU26214RMFS5,2,294542500.0,84.155,84.155,84.155,84.155,
2016-03-11,RPMO,ОФЗ 26214,SU26214RMFS5,2,1292057375.0,84.1917,81.4193,84.1917,81.4193,
2016-03-14,RPMO,ОФЗ 26214,SU26214RMFS5,1,294220150.0,84.0629,84.0629,84.0629,84.0629,
2016-03-15,RPMO,ОФЗ 26214,SU26214RMFS5,1,293300000.0,83.8,83.8,83.8,83.8,
2016-03-16,RPMO,ОФЗ 26214,SU26214RMFS5,1,292932500.0,83.695,83.695,83.695,83.695,
2016-03-17,RPMO,ОФЗ 26214,SU26214RMFS5,1,293281450.0,83.7947,83.7947,83.7947,83.7947,
2016-03-18,RPMO,ОФЗ 26214,SU26214RMFS5,3,513154365.0,84.6067,84.6067,86.4665,86.4665,
2016-03-21,RPMO,ОФЗ 26214,SU26214RMFS5,2,385122584.0,84.9745,84.9745,86.8434,86.8434,
2016-03-22,RPMO,ОФЗ 26214,SU26214RMFS5,2,316155828.0,84.8777,84.8777,86.7449,86.7449,
2016-03-23,RPMO,ОФЗ 26214,SU26214RMFS5,3,1054708424.0,84.8668,82.0659,86.7342,86.7342,
2016-03-24,RPMO,ОФЗ 26214,SU26214RMFS5,5,1072012885.2,84.5895,2.6733,86.4513,85.5204,
2016-03-25,RPMO,ОФЗ 26214,SU26214RMFS5,4,1450309599.2,84.2822,82.4267,86.1377,85.21,
2016-03-28,RPMO,ОФЗ 26214,SU26214RMFS5,3,734094786.07,84.3507,84.3507,86.2088,86.2088,
2016-03-29,RPMO,ОФЗ 26214,SU26214RMFS5,3,2279921802.0,84.5097,84.5097,86.3716,86.3716,
2016-03-30,RPMO,ОФЗ 26214,SU26214RMFS5,3,2398729208.19,84.3012,84.3012,86.15899999999999,85.2301,
2016-03-31,RPMO,ОФЗ 26214,SU26214RMFS5,3,2390190266.44,84.756,84.756,86.6239,86.6239,
2016-04-01,RPMO,ОФЗ 26214,SU26214RMFS5,5,2806463373.6,84.6001,81.8027,86.4651,86.4651,
2016-04-04,RPMO,ОФЗ 26214,SU26214RMFS5,4,2602540857.81,84.619,84.619,86.4855,86.4855,
2016-04-05,RPMO,ОФЗ 26214,SU26214RMFS5,4,2494608135.91,84.6893,84.6893,86.5578,86.5578,
2016-04-06,RPMO,ОФЗ 26214,SU26214RMFS5,4,2487902156.98,84.4616,84.4616,86.3255,86.3255,
2016-04-07,RPMO,ОФЗ 26214,SU26214RMFS5,4,2488324423.64,84.4759,84.4759,86.3405,86.3405,
2016-04-08,RPMO,ОФЗ 26214,SU26214RMFS5,4,2485630338.56,84.3844,84.3844,86.2474,86.2474,
2016-04-11,RPMO,ОФЗ 26214,SU26214RMFS5,4,2474570164.71,84.0088,84.0088,85.8648,85.8648,
2016-04-12,RPMO,ОФЗ 26214,SU26214RMFS5,5,2830643376.95,84.3848,84.3848,86.2493,86.2493,
2016-04-13,RPMO,ОФЗ 26214,SU26214RMFS5,4,2064747904.93,84.4267,84.4267,86.2925,86.2925,
2016-04-14,RPMO,ОФЗ 26214,SU26214RMFS5,5,3896894380.0,84.5678,84.5678,86.43700000000001,84.5678,
2016-04-15,RPMO,ОФЗ 26214,SU26214RMFS5,3,648340734.0,84.4179,84.4179,86.2842,86.2842,
2016-04-18,RPMO,ОФЗ 26214,SU26214RMFS5,6,2539608894.0,84.3848,84.3848,90.9185,90.9185,
2016-04-19,RPMO,ОФЗ 26214,SU26214RMFS5,4,2072384541.0,84.3455,84.3455,86.2118,86.2118,
2016-04-20,RPMO,ОФЗ 26214,SU26214RMFS5,4,2078807775.0,84.6069,84.6069,86.4792,86.4792,
2016-04-21,RPMO,ОФЗ 26214,SU26214RMFS5,4,2076921871.0,84.5301,84.5301,86.4011,86.4011,
2016-04-22,RPMO,ОФЗ 26214,SU26214RMFS5,6,2172824191.0,84.7181,84.7181,91.2822,84.7181,
2016-04-25,RPMO,ОФЗ 26214,SU26214RMFS5,4,2196389299.67,84.6372,84.6372,86.512,84.6372,
2016-04-26,RPMO,ОФЗ 26214,SU26214RMFS5,4,2157576383.0,84.4645,81.6572,86.336,84.4645,
2016-04-27,RPMO,ОФЗ 26214,SU26214RMFS5,4,2157420778.0,84.4584,81.6508,86.3301,86.3301,
2016-04-28,RPMO,ОФЗ 26214,SU26214RMFS5,3,731789374.0,84.559,81.7476,86.4333,86.4333,
2016-04-29,RPMO,ОФЗ 26214,SU26214RMFS5,3,807198079.72,81.86399999999999,81.86399999999999,86.5571,83.7412,
2016-05-04,RPMO,ОФЗ 26214,SU26214RMFS5,3,810926527.87,82.24,82.24,86.9589,84.1276,
2016-05-05,RPMO,ОФЗ 26214,SU26214RMFS5,1,217352250.0,86.9409,86.9409,86.9409,86.9409,
2016-05-06,RPMO,ОФЗ 26214,SU26214RMFS5,2,318443638.0,81.9987,81.9987,86.7061,86.7061,
2016-05-10,RPMO,ОФЗ 26214,SU26214RMFS5,2,318267150.0,81.9975,81.9975,86.6361,86.6361,
2016-05-11,RPMO,ОФЗ 26214,SU26214RMFS5,4,362254005.93,86.6456,81.9368,86.6456,83.8203,
2016-05-12,RPMO,ОФЗ 26214,SU26214RMFS5,5,1027129025.11,82.2295,82.2295,91.6817,84.1199,
2016-05-13,RPMO,ОФЗ 26214,SU26214RMFS5,3,581315466.06,82.3395,82.3395,87.0727,84.2328,
2016-05-16,RPMO,ОФЗ 26214,SU26214RMFS5,3,493486387.3,82.2654,82.2654,86.9973,84.15799999999999,
2016-05-17,RPMO,ОФЗ 26214,SU26214RMFS5,4,499626676.09,86.9762,82.2444,86.9762,84.1371,
2016-05-18,RPMO,ОФЗ 26214,SU26214RMFS5,3,703476927.44,82.2022,82.2022,86.9326,84.0944,
2016-05-19,RPMO,ОФЗ 26214,SU26214RMFS5,2,318976346.0,82.1279,82.1279,86.8551,86.8551,
2016-05-20,RPMO,ОФЗ 26214,SU26214RMFS5,1,216381000.0,86.5524,86.5524,86.5524,86.5524,
2016-05-23,RPMO,ОФЗ 26214,SU26214RMFS5,2,324065390.0,86.6485,86.6485,86.6485,86.6485,
2016-05-24,RPMO,ОФЗ 26214,SU26214RMFS5,1,216370750.0,86.5483,86.5483,86.5483,86.5483,
2016-05-25,RPMO,ОФЗ 26214,SU26214RMFS5,4,1209131660.72,87.48100000000001,81.8217,87.48100000000001,83.7081,
2016-05-26,RPMO,ОФЗ 26214,SU26214RMFS5,3,1108162723.61,87.52,83.7447,87.52,83.7447,
2016-05-27,RPMO,ОФЗ 26214,SU26214RMFS5,5,1305979115.0,87.5629,83.7851,87.5629,83.7851,
2016-05-30,RPMO,ОФЗ 26214,SU26214RMFS5,7,1682100266.78,86.6152,86.6152,87.5602,86.6152,
2016-05-31,RPMO,ОФЗ 26214,SU26214RMFS5,7,1565363629.99,87.463,81.7983,87.463,86.5189,
